Date,Article,Coord,Location,Mag,Deaths,Description,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
c. 1920 BC,Jishi Gorge outburst flood,35°N 102°E﻿ / ﻿35°N 102°E,Qinghai / Gansu,,,,,,,
1937-07-31,1937 Heze earthquakes,35°16′08″N 115°11′24″E﻿ / ﻿35.269°N 115.190°E,"Mudan District, Shandong",6.9 MS,"3,252+",,,,,
1950-08-15,1950 Assam–Tibet earthquake,28°22′N 96°27′E﻿ / ﻿28.36°N 96.45°E,"Zayü County, Tibet",8.6 Mw,4000,"Largest seismic event ever recorded in China and largest known seismic event on land. 3,300 deaths in Chinese-claimed territories",,,,
1952-08-18,1952 Damxung earthquake,30°38′53″N 91°36′4″E﻿ / ﻿30.64806°N 91.60111°E,"Damxung, Tibet",7.5 Mw,54,,,,,
1955-04-14,1955 Kangding earthquake,31°17′42″N 100°45′00″E﻿ / ﻿31.295°N 100.750°E,Sichuan,7.1 Mw,,,,,,
1955-09-23,1955 Yuzha earthquake,26°36′N 101°48′E﻿ / ﻿26.60°N 101.80°E,Yunnan,6.8 MS,728,,,,,
1966-03-08,1966 Xingtai earthquakes,37°04′N 114°29′E﻿ / ﻿37.067°N 114.483°E,Hebei,6.8 Mw,8064,,,,,
1969-07-26,1969 Yangjiang earthquake,21°37′N 111°50′E﻿ / ﻿21.61°N 111.83°E,"Yangjiang, Guangdong",6.4 Mw,3000,,,,,
1970-01-04,1970 Tonghai earthquake,24°11′N 102°32′E﻿ / ﻿24.19°N 102.54°E,"Tonghai County, Yunnan",7.1 Mw,15621,,,,,
1973-02-06,1973 Luhuo earthquake,31°23′53″N 100°34′52″E﻿ / ﻿31.398°N 100.581°E,"Luhuo County, Sichuan",7.5 MS,2175,,,,,
1974-05-10,1974 Zhaotong earthquake,28°12′N 104°00′E﻿ / ﻿28.2°N 104.0°E,"Zhaotong, Yunnan",6.8,"20,000",,,,,
1975-02-04,1975 Haicheng earthquake,40°40′N 122°41′E﻿ / ﻿40.66°N 122.68°E,"Haicheng, Liaoning",7.4 Mw,2041,one of the few earthquakes to be successfully predicted throughout history,,,,
1976-05-29,1976 Longling earthquake,24°29′N 98°58′E﻿ / ﻿24.49°N 98.96°E,Yunnan,6.9 MS 7.0 MS,98,Doublet earthquake,,,,
1976-07-27,1976 Tangshan earthquake,39°38′N 118°06′E﻿ / ﻿39.63°N 118.10°E,"Tangshan, Hebei",7.5 Mw,"300,000+",Deadliest earthquake in Chinese history. Among the top disasters in China by death toll.,,,,
1976-08-16,1976 Songpan-Pingwu earthquake,32°41′N 104°12′E﻿ / ﻿32.69°N 104.2°E,Sichuan,7.2 MS,41,Earthquake swarm,,,,
1981-01-23,1981 Dawu earthquake,30°56′N 101°06′E﻿ / ﻿30.93°N 101.10°E,Sichuan,6.8 ML,150,,,,,
1988-11-06,1988 Lancang–Gengma earthquakes,22°47′20″N 99°36′40″E﻿ / ﻿22.789°N 99.611°E,Yunnan,7.6 Ms 7.2 Ms,939,"Occurred near the border with Shan State, Myanmar. Doublet earthquake",,,,
1990-04-26,1990 Gonghe earthquake,35°59′10″N 100°14′42″E﻿ / ﻿35.986°N 100.245°E,Qinghai,7.0 MS,126,,,,,
1996-02-03,1996 Lijiang earthquake,27°18′N 100°17′E﻿ / ﻿27.30°N 100.29°E,Yunnan,7.0 MS,309,,,,,
2000-01-14,2000 Yunnan earthquake,25°37′N 101°04′E﻿ / ﻿25.61°N 101.06°E,Yunnan,5.9 Mw,7,,,,,
2001-02-23,2001 Sichuan earthquake,29°30′47″N 101°07′44″E﻿ / ﻿29.513°N 101.129°E,Sichuan,5.6 Mw,3,,,,,
2001-11-14,2001 Kunlun earthquake,36°07′N 90°32′E﻿ / ﻿36.12°N 90.54°E,Qinghai,7.8 Mw,0,,,,,
2003-02-24,2003 Bachu earthquake,39°37′N 77°14′E﻿ / ﻿39.61°N 77.24°E,"Maralbexi (Bachu) County, Xinjiang",6.3 Mw,261,,,,,
2003-12-01,2003 Zhaosu earthquake,42°54′18″N 80°30′54″E﻿ / ﻿42.905°N 80.515°E,"Zhaosu County, Xinjiang",6.0 Mw,10,,,,,
2005-11-26,2005 Ruichang earthquake,29°39′25″N 115°43′01″E﻿ / ﻿29.657°N 115.717°E,"Ruichang, Jiangxi",5.2 Mw,14,,,,,
2006-07-22,2006 Yanjin earthquake,27°59′31″N 104°12′54″E﻿ / ﻿27.992°N 104.215°E,Yunnan,5.2 Mw,22,Moderate damage,,,,
2008-05-12,2008 Sichuan earthquake,31°01′16″N 103°22′01″E﻿ / ﻿31.021°N 103.367°E,"Wenchuan County, Sichuan",7.9 Mw,87587,18th deadliest earthquake of all time,,,,
2008-08-21,2008 Yingjiang earthquakes,24°54′N 97°48′E﻿ / ﻿24.9°N 97.8°E,Yunnan,6.0Mw,5,,,,,
2008-08-30,2008 Panzhihua earthquake,26°12′N 101°54′E﻿ / ﻿26.2°N 101.9°E,Sichuan,5.7 Mw,41,,,,,
2008-10-06,2008 Damxung earthquake,29°27′00″N 90°11′13″E﻿ / ﻿29.45°N 90.187°E,"Damxung County, Tibet",6.4 Mw,10,,,,,
2010-04-14,2010 Yushu earthquake,33°18′N 96°42′E﻿ / ﻿33.3°N 96.7°E,"Yushu, Qinghai",6.9 Mw,2698,270 missing,,,,
2011-03-10,2011 Yunnan earthquake,24°42′36″N 97°59′38″E﻿ / ﻿24.710°N 97.994°E,Yunnan,5.4 Mw,26,,,,,
2012-09-07,2012 Yunnan earthquakes,27°34′55″N 103°59′24″E﻿ / ﻿27.582°N 103.990°E,"Yiliang County, Yunnan",5.6 Mw,81,,,,,
2013-03-03,2013 Yunnan earthquakes,25°55′08″N 99°43′30″E﻿ / ﻿25.919°N 99.725°E,"Dali, Yunnan",5.5 Mw,0,"2,500 houses were damaged",,,,
2013-04-20,2013 Ya'an earthquake,30°17′02″N 102°57′22″E﻿ / ﻿30.284°N 102.956°E,"Lushan County, Sichuan",6.9 Mw,193,24 missing,,,,
2013-07-22,2013 Dingxi earthquake,34°30′N 104°12′E﻿ / ﻿34.5°N 104.2°E,"Min County, Gansu",5.9 Mw,95,Magnitude M(s)6.6 according to CENC.,,,,
2013-08-31,2013 Yunnan earthquake,28°13′12″N 99°20′35″E﻿ / ﻿28.220°N 99.343°E,"Deqen, Yunnan",5.8 Mw,5,,,,,
2014-05-24,2014 Yingjiang earthquake,25°00′N 97°48′E﻿ / ﻿25.0°N 97.8°E,"Yingjiang County, Yunnan",5.6 Mw,0,"9,412 homes were destroyed.",,,,
